participant_id,pair_id,trial_id,ref_set_num,ref_set_size,ref_area_multiplier,ref_resulting_area,ref_radius_multiplier,ref_resulting_radius,targ_set_num,targ_set_size,targ_area_multiplier,targ_resulting_area,targ_radius_multiplier,targ_resulting_radius,set_size_ratio,resulting_area_ratio,resulting_radius_ratio
20051,224,20051_224,548,5,1.1,18060.9,1.0488088481701516,169.28927073911785,1052,10,1,16502,1,228.9604942413091,0.5,1.0944673372924494,0.7393820112944822
20051,110,20051_110,521,5,1,18907,1,173.24280638961798,946,9,1.09,17202.38,1.044030650891055,221.79081114867208,0.5555555555555556,1.099092102371881,0.7811090346456638
20051,232,20051_232,549,5,1.08,18774.72,1.0392304845413265,172.43875105911894,659,6,1,18396,1,187.33254781222462,0.8333333333333334,1.0205870841487281,0.920495413493043
20051,270,20051_270,556,5,1,17792,1,167.8609670050623,1070,10,0.86,13641.32,0.9273618495495703,208.01020590589246,0.5,1.3042726070497577,0.8069842836509935
20051,263,20051_263,556,5,1.15,20460.8,1.0723805294763609,180.01083267530265,989,9,1,15870,1,212.97525746749963,0.5555555555555556,1.2892753623188404,0.8452194626541188
20051,226,20051_226,548,5,1,16419,1,161.4109864104174,1079,10,0.89,13363.35,0.9433981132056604,205.93864419625186,0.5,1.2286589814679703,0.7837819222340744
21004,462,21004_462,599,5,1.07,14142.19,1.03440804327886,149.95334124777898,933,9,1,9858,1,167.74538345964726,0.5555555555555556,1.4345901805640089,0.8939342362518827
21004,448,21004_448,596,5,1.58,20171.86,1.2569805089976536,179.08084658695648,981,9,1,11511,1,181.2743617021041,0.5555555555555556,1.752398575275823,0.9878994740648857
21004,427,21004_427,590,5,1,15301,1,155.9486749563474,998,9,0.45,8096.4000000000005,0.6708203932499369,152.10365033924944,0.5555555555555556,1.8898522800256903,1.0252789765960388
21004,75,21004_75,516,5,1.77,19824,1.3304134695650072,177.45261998418326,717,7,1,16746,1,192.91168809437366,0.7142857142857143,1.1838050877821569,0.9198645335443453
21004,48,21004_48,510,5,1.87,19999.65,1.3674794331177345,178.30807222061202,925,9,1,15095,1,207.70210727928674,0.5555555555555556,1.3249188473004307,0.8584798419057443
21004,106,21004_106,521,5,1.26,23822.82,1.1224972160321824,194.46456786994858,841,8,1,19102,1,220.24137015389684,0.625,1.247137472515967,0.8829611245791998
21004,48,21004_48,510,5,1,10695,1,130.39177621420242,925,9,0.33,4981.35,0.5744562646538028,119.31577670838249,0.5555555555555556,2.147008341112349,1.0928292956001164
21004,224,21004_224,548,5,1,16419,1,161.4109864104174,1052,10,0.52,8581.04,0.7211102550927979,165.1057604085235,0.5,1.9134044358259603,0.9776217741345663
21004,403,21004_403,586,5,1,14433,1,151.49202325230803,727,7,0.7,7885.499999999999,0.8366600265340756,132.2572389765277,0.7142857142857143,1.830321476127069,1.1454346425543784
